zone,province,confirmed_cases,confirmed_deaths,lat,lon,population_2024,zone_cfr_pct,cases_per_100k
Bunia,Ituri,296,48,1.59551,30.22344,268128,16.2,110.4
Mongbwalu,Ituri,237,100,1.98343,29.91567,133371,42.2,177.7
Rwampara,Ituri,225,37,1.57195,30.11021,134068,16.4,167.8
Nyankunde,Ituri,86,9,1.47609,29.9444,97949,10.5,87.8
Katwa,Nord-Kivu,32,19,0.12058,29.32371,411346,59.4,7.8
Nizi,Ituri,30,6,1.74969,30.32474,141651,20.0,21.2
Butembo,Nord-Kivu,28,13,0.13996,29.25991,316182,46.4,8.9
Lita,Ituri,24,6,1.57476,30.37491,128175,25.0,18.7
Beni,Nord-Kivu,20,12,0.49952,29.46953,382409,60.0,5.2
Bambu,Ituri,14,2,1.87176,30.22046,148752,14.3,9.4
Mangala,Ituri,14,6,1.96698,30.41024,92662,42.9,15.1
Komanda,Ituri,10,3,1.13414,29.64301,184816,30.0,5.4
Tchomia,Ituri,8,0,1.52789,30.59572,110386,0.0,7.2
Kilo,Ituri,7,1,1.76212,30.08494,55902,14.3,12.5
Aungba,Ituri,6,2,2.59705,30.59664,158181,33.3,3.8
Logo,Ituri,5,0,2.17107,30.91868,240552,0.0,2.1
Damas,Ituri,4,0,2.18521,30.17799,116731,0.0,3.4
Rimba,Ituri,3,0,2.21952,30.75595,211373,0.0,1.4
Aru,Ituri,3,1,2.85261,30.73485,181110,33.3,1.7
Oicha,Nord-Kivu,3,2,0.75582,29.59942,336160,66.7,0.9
Kyondo,Nord-Kivu,3,1,0.01319,29.4859,215154,33.3,1.4
Miti-Murhesa,Sud-Kivu,3,1,-2.33753,28.86162,239135,33.3,1.3
Mambasa,Ituri,2,1,1.44963,28.69974,95906,50.0,2.1
Nia-Nia,Ituri,2,2,1.31274,27.97986,71361,100.0,2.8
Kalunguta,Nord-Kivu,2,1,0.43659,29.51381,199559,50.0,1.0
Musienene,Nord-Kivu,2,1,0.01858,28.65899,249370,50.0,0.8
Drodro,Ituri,1,1,1.74173,30.54869,154777,100.0,0.6
Gety,Ituri,1,0,1.26554,30.2325,186541,0.0,0.5
Kambala,Ituri,1,1,2.33517,30.48101,123772,100.0,0.8
Fataki,Ituri,1,0,1.91391,30.55534,128262,0.0,0.8
Goma,Nord-Kivu,1,0,-1.6526,29.18021,251728,0.0,0.4
Masereka,Nord-Kivu,1,0,-0.18405,29.55946,177664,0.0,0.6
Vuhovi,Nord-Kivu,1,1,0.25118,29.25411,121520,100.0,0.8
Mabalako,Nord-Kivu,1,0,0.46812,29.21145,186148,0.0,0.5
